id,name,target_tace
49,Consultant,85
50,Confirmé,85
51,Senior,80
56,Manager Ref,75
69,Confirmed Mgr Ref,70
57,Senior Mgr Ref,65
67,Business Développeur,60
63,Business Développeur confirmé,55
68,Confirmed Mgr Biz,55
59,Senior Mgr Biz,50
